,laptop_ID,Company,Product,TypeName,Inches,Screen Resolution,X_res,Y_res,Full HD,Quad HD+,4K Ultra HD,IPS,Touch Screen,CPU Name,CPU Freq (GHz),RAM (GB),HDD,SSD,Flash Storage,GPU,OS,Weight (kg),Price_euros
303,309,Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,1000,128,0,Nvidia GeForce GTX,Windows 10,2.5,1265.0000000000002
304,310,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Pentium Quad,1.1,4,1000,0,0,Intel HD Graphics,No OS,2.2,359.9900000000001
305,311,HP,EliteBook x360,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,0,1,Intel Core i7,2.8,16,0,256,0,Intel HD Graphics,Windows 10,1.28,1975.0000000000005
306,312,Toshiba,Satellite Pro,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.5,8,0,256,0,Nvidia GeForce M,Windows 10,2.2,1043.0000000000002
307,313,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,1000,128,0,Nvidia GeForce MX,Windows 10,2.3,819.0000000000002
308,314,HP,250 G6,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Intel HD Graphics,Windows 10,1.86,468.9999999999999
309,315,Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.1,999.0000000000003
310,316,Dell,XPS 13,Ultrabook,13.3,3840x2160,3840,2160,0,0,1,1,1,Intel Core i7,1.8,16,0,1000,0,Intel UHD Graphics,Windows 10,1.21,2498.9999999999995
311,317,MSI,GE63VR 7RF,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.8,2099.0000000000005
312,318,Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD A-Series,2.2,8,0,256,0,AMD Radeon,Windows 10,2.23,468.9999999999999
313,319,Asus,VivoBook Flip,2 in 1 Convertible,11.6,1366x768,1366,768,1,0,0,0,1,Intel Celeron Dual,1.1,2,0,0,32,Intel HD Graphics,Windows 10,1.1,275.0000000000001
314,320,Dell,Inspiron 5570,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,1000,128,0,AMD Radeon,Windows 10,2.33,844.0000000000002
315,321,HP,Spectre x360,2 in 1 Convertible,13.3,3840x2160,3840,2160,0,0,1,1,1,Intel Core i7,1.8,16,0,1000,0,Intel UHD Graphics,Windows 10,1.29,2449.0
316,322,Lenovo,ThinkPad 13,Notebook,13.3,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.6,4,0,0,16,Intel HD Graphics,Chrome OS,1.45,459.90000000000015
317,323,HP,ProBook 640,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.95,979.9999999999998
318,324,Acer,TravelMate B,Notebook,11.6,1366x768,1366,768,1,0,0,0,0,Intel Pentium Quad,1.6,4,0,0,128,Intel HD Graphics,Windows 10,1.4,485.00000000000006
319,325,HP,Elitebook 840,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,Intel HD Graphics,Windows 10,1.48,1292.0
320,326,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,1600,900,1,0,0,0,0,Intel Core i5,2.5,4,1000,0,0,Nvidia GeForce MX,Windows 10,2.79,588.9999999999999
321,327,Asus,ZenBook UX410UA-GV183T,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,Intel HD Graphics,Windows 10,2.0,1094.0
322,329,HP,ProBook 450,Notebook,15.6,1366x768,1366,768,1,0,0,1,0,Intel Core i7,1.8,8,1000,0,0,Intel UHD Graphics,Windows 10,2.1,902.0000000000003
323,330,Acer,Aspire 5,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,2.7,8,0,256,0,AMD Radeon,Windows 10,2.2,659.0
324,331,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.1,4,0,0,32,Intel HD Graphics,Windows 10,1.44,292.0
325,332,Acer,Aspire E5-575,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,6,1000,0,0,Intel HD Graphics,Windows 10,2.23,548.9999999999999
326,333,Asus,VivoBook S15,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,Nvidia GeForce MX,Windows 10,1.7,1049.8999999999996
327,334,HP,Elitebook 820,Ultrabook,12.5,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,Intel HD Graphics,Windows 10,1.26,1335.0000000000002
328,335,Dell,XPS 15,Notebook,15.6,3840x2160,3840,2160,0,0,1,0,1,Intel Core i7,2.8,32,0,1000,0,Nvidia GeForce GTX,Windows 10,2.06,2639.000000000001
329,336,MSI,GL72M 7REX,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,1000,256,0,Nvidia GeForce GTX,Windows 10,2.7,1198.9999999999998
330,337,Toshiba,Satellite Pro,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,2.0,943.0000000000001
331,338,Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,1000,256,0,Intel HD Graphics,Windows 10,2.0,1333.9999999999995
332,339,Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Intel HD Graphics,Windows 10,1.85,449.0000000000001
333,340,Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,0,256,0,Nvidia GeForce GTX,Windows 10,2.5,999.0000000000003
334,341,HP,EliteBook 840,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.6,8,0,256,0,Intel HD Graphics,Windows 10,1.48,1267.9999999999998
335,342,Dell,Inspiron 7570,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,1000,128,0,Nvidia GeForce MX,Windows 10,1.9,1049.0
336,343,HP,Elitebook 850,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.84,1144.0
337,344,Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.1,4,1000,0,0,Intel HD Graphics,Linux,2.0,274.9900000000001
338,345,Dell,Inspiron 7570,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Nvidia GeForce MX,Windows 10,2.0,1142.75
339,346,Dell,Inspiron 3552,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.6,4,500,0,0,Intel HD Graphics,Linux,2.2,274.9000000000001
340,347,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD A-Series,3.6,12,2000,0,0,AMD Radeon,Windows 10,2.2,898.9999999999998
341,348,HP,ProBook 450,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i3,2.4,8,1000,0,0,Nvidia GeForce MX,Windows 10,2.1,716.0000000000001
342,349,Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,3840x2160,3840,2160,0,0,1,1,1,Intel Core i7,1.8,16,0,512,0,Intel UHD Graphics,Windows 10,1.4,2099.0000000000005
343,350,Dell,XPS 13,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,1.2,1578.9999999999998
344,351,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,2000,256,0,Nvidia GeForce GTX,Windows 10,2.4,1128.9999999999998
345,352,HP,Stream 14-AX001nv,Notebook,14.0,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.6,2,0,0,32,Intel HD Graphics,Windows 10,1.44,278.99999999999994
346,353,Dell,Latitude 5590,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.9,16,0,768,0,Intel UHD Graphics,Windows 10,1.88,1607.9599999999996
347,354,Asus,VivoBook Flip,2 in 1 Convertible,11.6,1366x768,1366,768,1,0,0,0,1,Intel Celeron Dual,1.1,4,0,0,32,Intel HD Graphics,Windows 10,1.5,374.99999999999994
348,355,Dell,Inspiron 5570,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,1000,0,0,AMD Radeon,Windows 10,1.9,663.0
349,356,Dell,XPS 15,Notebook,15.6,3840x2160,3840,2160,0,0,1,0,1,Intel Core i7,2.8,16,0,512,0,Nvidia GeForce GTX,Windows 10,2.06,2027.4200000000003
350,357,HP,Elitebook 850,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,Intel HD Graphics,Windows 10,1.84,1304.0000000000002
351,358,MSI,GP72MVR 7RFX,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,1000,128,0,Nvidia GeForce GTX,Windows 10,2.7,1408.9999999999995
352,359,HP,Zbook 15,Workstation,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,0,256,0,Nvidia Quadro,Windows 10,2.6,1738.2700000000002
353,360,Toshiba,Tecra A50-C-21G,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.5,16,0,512,0,Nvidia GeForce M,Windows 10,2.4,1403.0000000000002
354,361,Dell,Inspiron 5570,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,2000,128,0,AMD Radeon,Windows 10,2.02,970.8999999999995
355,362,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.1,4,1000,0,0,Intel HD Graphics,No OS,2.2,321.9900000000001
356,363,Dell,Inspiron 7577,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,1000,0,0,Nvidia GeForce GTX,Windows 10,2.65,999.0000000000003
357,364,Dell,Inspiron 3567,Notebook,15.6,1366x768,1366,768,1,0,0,0,1,Intel Core i5,2.5,8,2000,0,0,Intel HD Graphics,Windows 10,2.36,557.3699999999998
358,365,Dell,Latitude 7480,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.6,8,0,256,0,Intel HD Graphics,Windows 10,1.36,1427.0
359,366,HP,250 G6,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,4,500,0,0,Intel HD Graphics,Windows 10,1.86,439.00000000000006
360,367,Asus,Zenbook UX410UA-GV027T,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,2.0,945.0000000000003
361,368,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,1600,900,1,0,0,0,0,Intel Core i5,2.5,6,1000,128,0,Nvidia GeForce GTX,Windows 10,2.8,719.0000000000002
362,369,HP,250 G6,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,1000,0,0,Intel HD Graphics,Windows 10,1.86,638.9999999999999
363,370,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,8,0,256,0,Nvidia GeForce MX,No OS,2.2,499.00000000000006
364,371,HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Pentium Quad,1.6,8,2000,0,0,Intel HD Graphics,Windows 10,2.04,388.99999999999983
365,372,Dell,Inspiron 5770,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,1000,128,0,AMD Radeon,Windows 10,2.8,1085.0000000000002
366,373,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,8,1000,128,0,Nvidia GeForce GTX,No OS,2.4,808.9999999999997
367,374,Dell,Inspiron 5567,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,AMD Radeon,Windows 10,2.33,898.9999999999998
368,375,HP,Elitebook 1040,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.7,8,0,256,0,Intel HD Graphics,Windows 10,1.36,1749.9999999999995
369,376,Asus,ZenBook Flip,2 in 1 Convertible,15.6,1920x1080,1920,1080,1,0,0,0,1,Intel Core i7,2.7,12,2000,512,0,Nvidia GeForce GTX,Windows 10,2.26,1098.9999999999998
370,377,Acer,Aspire 3,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,3.0,4,0,128,0,AMD Radeon,Windows 10,2.1,426.00000000000017
371,378,Asus,Rog Strix,Gaming,17.3,1920x1080,1920,1080,1,0,0,1,0,AMD Processor,3.0,16,1000,256,0,AMD Radeon,Windows 10,3.25,2199.0
372,379,Lenovo,IdeaPad 110-17ACL,Notebook,17.3,1600x900,1600,900,1,0,0,0,0,AMD A-Series,2.2,4,0,128,0,AMD Radeon,Windows 10,2.6,489.00000000000017
373,380,Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,0,1,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,1.62,869.0100000000001
374,381,HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD A-Series,3.0,4,0,256,0,AMD Radeon,Windows 10,1.91,488.9899999999998
375,382,Lenovo,Yoga 11e,Netbook,11.6,1366x768,1366,768,1,0,0,1,0,Intel Processor,1.1,4,0,128,0,Intel HD Graphics,Windows 10,1.59,553.0000000000001
376,383,Dell,Inspiron 3552,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.6,4,500,0,0,Intel HD Graphics,Windows 10,1.8,309.0000000000001
377,384,Asus,VivoBook E403NA,Notebook,14.0,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.1,4,0,0,32,Intel HD Graphics,Windows 10,1.5,285.99999999999994
378,385,Acer,Aspire 7,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,1000,0,0,Nvidia GeForce GTX,Linux,2.4,845.9999999999998
379,386,HP,Omen 17-w212nv,Gaming,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,8,1000,128,0,Nvidia GeForce GTX,Windows 10,3.35,1190.9999999999998
380,387,Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,0,128,0,Intel HD Graphics,No OS,1.85,403.50000000000006
381,388,Asus,ROG Strix,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,8,1000,128,0,Nvidia GeForce GTX,Windows 10,2.3,1655.0000000000002
382,389,Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce MX,Windows 10,1.5,1098.9999999999998
383,390,Asus,Zenbook Flip,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,0,1,Intel Core i7,2.7,16,0,512,0,Intel HD Graphics,Windows 10,1.1,1748.9000000000005
384,391,Lenovo,Thinkpad X1,Ultrabook,14.0,2560x1440,2560,1440,0,1,0,1,0,Intel Core i7,2.7,8,0,512,0,Intel HD Graphics,Windows 10,1.13,2282.0000000000005
385,392,Lenovo,Ideapad 510S-13IKB,Notebook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i3,2.4,4,0,128,0,Intel HD Graphics,Windows 10,1.5,548.9999999999999
386,393,Dell,Precision 3510,Workstation,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.6,8,500,0,0,AMD FirePro,Windows 10,2.23,1368.9999999999998
387,394,Dell,Precision 5520,Workstation,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.7,8,0,256,0,Nvidia Quadro,Windows 10,2.0,2135.000000000001
388,395,Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,2560x1440,2560,1440,0,1,0,0,1,Intel Core i7,2.7,16,0,512,0,Intel HD Graphics,Windows 10,1.42,2508.999999999999
389,396,Asus,Rog GL753VD-GC042T,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,1000,0,0,Nvidia GeForce GTX,Windows 10,3.0,1039.0
390,397,Asus,Rog GL753VE-GC070T,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,3.0,1590.9999999999998
391,399,Acer,Aspire 5,Notebook,15.6,1366x768,1366,768,1,0,0,1,0,Intel Core i5,1.6,12,1000,0,0,Nvidia GeForce MX,Windows 10,2.2,693.9900000000002
392,400,MSI,Leopard GP72M,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,0,256,0,Nvidia GeForce GTX,Windows 10,2.7,1348.9999999999998
393,401,Dell,Inspiron 5567,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,AMD Radeon,Linux,2.33,778.8700000000002
394,402,HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD A-Series,3.0,4,0,256,0,AMD Radeon,Windows 10,1.91,499.00000000000006
395,403,Lenovo,ThinkPad E580,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,AMD Radeon,Windows 10,2.1,1229.56
396,404,Lenovo,ThinkPad L470,Notebook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.9,937.9999999999999
397,405,Dell,Precision M5520,Workstation,15.6,3840x2160,3840,2160,0,0,1,0,1,Intel Core i7,2.8,8,0,256,0,Nvidia Quadro,Windows 10,1.78,2712.0
398,406,Lenovo,Thinkpad X1,Ultrabook,14.0,2560x1440,2560,1440,0,1,0,1,0,Intel Core i7,2.7,16,0,1000,0,Intel HD Graphics,Windows 10,1.13,2625.0
399,407,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.1,4,1000,0,0,Intel HD Graphics,Windows 10,2.2,306.0
400,408,Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.9,1528.9999999999998
401,409,Lenovo,ThinkPad E580,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,1000,256,0,AMD Radeon,Windows 10,2.1,1144.5000000000002
402,410,Acer,Aspire 7,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,0,256,0,Nvidia GeForce GTX,Linux,2.5,878.9999999999998
403,411,MSI,GE73VR 7RF,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.8,2249.0
404,412,Asus,Zenbook 3,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,512,0,Intel HD Graphics,Windows 10,1.1,1872.9999999999998
405,413,Toshiba,Portege Z30-C-16P,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.5,16,0,512,0,Intel HD Graphics,Windows 10,1.2,1746.9999999999993
406,414,Dell,Latitude 7480,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,0,512,0,Intel HD Graphics,Windows 10,1.36,1680.0
407,415,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,500,0,0,Intel HD Graphics,Windows 10,2.2,409.00000000000017
408,416,Lenovo,Lenovo IdeaPad,Notebook,11.6,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.1,2,0,0,32,Intel HD Graphics,Windows 10,1.15,304.4499999999999
409,417,Lenovo,ThinkPad P51,Workstation,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,0,512,0,Nvidia Quadro,Windows 10,2.67,1924.9999999999993
410,418,Lenovo,Thinkpad T470p,Ultrabook,14.0,2560x1440,2560,1440,0,1,0,1,0,Intel Core i7,2.8,8,0,512,0,Nvidia GeForce GTX,Windows 10,1.7,1943.0000000000005
411,419,HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,AMD Radeon,Windows 10,2.1,468.9999999999999
412,420,Acer,Aspire R7,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,1,1,Intel Core i7,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.6,789.01
413,421,Asus,ZenBook Flip,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,1,1,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.27,928.0000000000001
414,422,Dell,Inspiron 3567,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,4,0,256,0,AMD Radeon,Linux,2.3,598.8999999999999
415,423,Dell,Latitude 3380,Notebook,13.3,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,4,0,128,0,Intel HD Graphics,Windows 10,1.65,689.0000000000001
416,424,HP,EliteBook 1040,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.43,1500.0
417,425,Dell,Inspiron 3567,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,8,1000,0,0,Intel HD Graphics,Windows 10,2.14,539.95
418,426,Lenovo,ThinkPad E480,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,AMD Radeon,Windows 10,1.75,1215.3799999999997
419,427,Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,3840x2160,3840,2160,0,0,1,1,1,Intel Core i7,2.8,16,0,512,0,Nvidia GeForce GTX,Windows 10,2.0,1898.9999999999998
420,428,Chuwi,LapBook 12.3,Notebook,12.3,2736x1824,2736,1824,0,0,1,1,0,Intel Processor,1.1,6,0,0,64,Intel HD Graphics,Windows 10,1.4,449.0000000000001
421,429,HP,ProBook 650,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.9,8,0,256,0,Intel HD Graphics,Windows 10,2.31,1427.0
422,430,Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.4,8,1000,0,0,Nvidia GeForce MX,Linux,2.3,597.0000000000001
423,431,Dell,Alienware 17,Gaming,17.3,2560x1440,2560,1440,0,1,0,1,0,Intel Core i7,2.9,16,1000,256,0,Nvidia GeForce GTX,Windows 10,4.42,2799.0000000000014
424,432,Dell,Inspiron 7577,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,8,1000,128,0,Nvidia GeForce GTX,Windows 10,2.62,1159.0
425,433,Dell,Inspiron 5570,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,2000,256,0,AMD Radeon,Windows 10,2.02,1142.3999999999999
426,434,Dell,Latitude 5480,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,0,256,0,Intel HD Graphics,Linux,1.6,1098.9999999999998
427,435,HP,Omen 17-w207nv,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,12,1000,256,0,Nvidia GeForce GTX,Windows 10,3.35,1998.9999999999993
428,436,Mediacom,FlexBook Edge,2 in 1 Convertible,11.6,1920x1080,1920,1080,1,0,0,1,1,Intel Celeron Dual,1.1,4,0,32,0,Intel HD Graphics,Windows 10,1.16,299.0000000000001
429,437,Samsung,Chromebook 3,Netbook,11.6,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.6,4,0,0,16,Intel HD Graphics,Chrome OS,1.15,269.0
430,438,Lenovo,Thinkpad 13,Notebook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.7,8,0,256,0,Intel HD Graphics,Windows 10,1.4,1009.9999999999995
431,439,Lenovo,IdeaPad 320s-14IKB,Notebook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i3,2.7,4,0,128,0,Intel HD Graphics,Windows 10,1.7,598.9999999999999
432,440,Lenovo,Thinkpad T570,Workstation,15.6,3840x2160,3840,2160,0,0,1,1,0,Intel Core i7,2.8,16,0,512,0,Nvidia GeForce MX,Windows 10,2.3,2445.000000000001
433,441,Lenovo,Thinkpad P51,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.9,16,0,512,0,Nvidia Quadro,Windows 10,2.5,2449.0
434,442,Asus,Rog Strix,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,AMD Processor,3.2,8,1000,256,0,AMD Radeon,Windows 10,3.2,1694.9999999999998
435,443,HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.6,4,500,0,0,Intel HD Graphics,Windows 10,2.1,347.00000000000006
436,444,Google,Pixelbook (Core,Ultrabook,12.3,2400x1600,2400,1600,0,1,0,0,1,Intel Core i7,1.3,16,0,512,0,Intel HD Graphics,Chrome OS,1.1,2199.0
437,445,Lenovo,ThinkPad T470s,Ultrabook,14.0,2560x1440,2560,1440,0,1,0,0,0,Intel Core i7,2.7,24,0,512,0,Intel HD Graphics,Windows 10,1.32,2381.9999999999995
438,446,Asus,VivoBook Max,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,4,0,256,0,Intel HD Graphics,Linux,2.0,559.0
439,447,Lenovo,IdeaPad 320-15AST,Notebook,17.3,1600x900,1600,900,1,0,0,0,0,AMD A-Series,2.5,8,1000,0,0,AMD Radeon,Windows 10,2.8,518.9999999999999
440,448,Dell,Inspiron 5570,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,4,0,256,0,AMD Radeon,Windows 10,2.2,748.9999999999998
